epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,903.695,1.0259,0.03144,0.03634,0.64636,0.91223,0.89757,0.7514,0.85284,0.56419,0.90492,0.78911,0.89794,0.89633,1.14119,0.0238,0.00509,0.74245,0.93963,0.0011387,0.0011387,0.0011387
89,913.87,1.03522,0.03016,0.03443,0.66469,0.91814,0.89353,0.7486,0.84435,0.55794,0.85265,0.84054,0.8975,0.8945,1.14818,0.02393,0.00435,0.73914,0.9424,0.0011288,0.0011288,0.0011288
90,923.945,1.0117,0.03092,0.03677,0.64563,0.91711,0.88068,0.75254,0.83949,0.55351,0.88616,0.7919,0.89738,0.8944,1.12646,0.02354,0.00324,0.72785,0.94339,0.0011189,0.0011189,0.0011189
91,934.077,1.03205,0.02997,0.03889,0.65674,0.90619,0.83454,0.78898,0.83694,0.54688,0.86214,0.83846,0.89606,0.89278,1.13493,0.02327,0.00335,0.73929,0.94955,0.001109,0.001109,0.001109
92,945.181,1.0391,0.03047,0.03622,0.6546,0.91013,0.86608,0.77679,0.84845,0.55465,0.87623,0.82123,0.89473,0.89242,1.17283,0.02267,0.00335,0.78531,0.94622,0.0010991,0.0010991,0.0010991
93,956.093,1.01927,0.02845,0.03544,0.6426,0.91463,0.88373,0.7486,0.83829,0.54104,0.86889,0.82375,0.8975,0.89512,1.16539,0.02352,0.0035,0.76829,0.94594,0.0010892,0.0010892,0.0010892
94,967.027,1.02227,0.02843,0.03063,0.64173,0.90193,0.85624,0.79027,0.85201,0.56119,0.88399,0.81943,0.90047,0.89801,1.11634,0.02311,0.00356,0.73888,0.93721,0.0010793,0.0010793,0.0010793
95,977.854,1.01638,0.02732,0.03301,0.63871,0.90769,0.86554,0.78219,0.8585,0.56662,0.89219,0.81285,0.90221,0.90019,1.1296,0.02382,0.00467,0.74296,0.94101,0.0010694,0.0010694,0.0010694
96,988.582,1.01578,0.02911,0.03245,0.63451,0.90456,0.85062,0.77793,0.8426,0.54519,0.88343,0.80168,0.8929,0.8908,1.1283,0.02411,0.00445,0.75119,0.94749,0.0010595,0.0010595,0.0010595
97,999.54,1.02238,0.02876,0.03697,0.64785,0.90693,0.82816,0.81006,0.84959,0.55745,0.86325,0.84635,0.90269,0.90027,1.13557,0.02328,0.00479,0.74578,0.94467,0.0010496,0.0010496,0.0010496
